base_confidence,confidence_threshold,accuracy,correct_predictions,total_predictions
0.22,0.16,0.5571428571428572,195,350
0.22,0.17,0.5571428571428572,195,350
0.22,0.18,0.5571428571428572,195,350
0.22,0.19,0.5571428571428572,195,350
0.22,0.2,0.5571428571428572,195,350
0.22,0.21,0.5571428571428572,195,350
0.23,0.1,0.5657142857142857,198,350
0.23,0.11,0.5628571428571428,197,350
0.23,0.12,0.5628571428571428,197,350
0.23,0.13,0.5628571428571428,197,350
0.23,0.14,0.5571428571428572,195,350
0.23,0.15,0.5571428571428572,195,350
0.23,0.16,0.5571428571428572,195,350
0.23,0.17,0.5571428571428572,195,350
0.23,0.18,0.5571428571428572,195,350
0.23,0.19,0.5571428571428572,195,350
0.23,0.2,0.5571428571428572,195,350
0.23,0.21,0.5571428571428572,195,350
0.23,0.22,0.5571428571428572,195,350
0.24,0.1,0.5657142857142857,198,350
0.24,0.11,0.5657142857142857,198,350
0.24,0.12,0.5628571428571428,197,350
0.24,0.13,0.5628571428571428,197,350
0.24,0.14,0.5571428571428572,195,350
0.24,0.15,0.5571428571428572,195,350
0.24,0.16,0.5571428571428572,195,350
0.24,0.17,0.5571428571428572,195,350
0.24,0.18,0.5571428571428572,195,350
0.24,0.19,0.5571428571428572,195,350
0.24,0.2,0.5571428571428572,195,350
0.24,0.21,0.5571428571428572,195,350
0.24,0.22,0.5571428571428572,195,350
0.24,0.23,0.5571428571428572,195,350
0.25,0.1,0.5657142857142857,198,350
0.25,0.11,0.5657142857142857,198,350
0.25,0.12,0.5657142857142857,198,350
0.25,0.13,0.5628571428571428,197,350
0.25,0.14,0.5628571428571428,197,350
0.25,0.15,0.5628571428571428,197,350
0.25,0.16,0.5571428571428572,195,350
0.25,0.17,0.5571428571428572,195,350
0.25,0.18,0.5571428571428572,195,350
0.25,0.19,0.5571428571428572,195,350
0.25,0.2,0.5571428571428572,195,350
0.25,0.21,0.5571428571428572,195,350
0.25,0.22,0.5571428571428572,195,350
0.25,0.23,0.5571428571428572,195,350
0.25,0.24,0.5571428571428572,195,350
0.26,0.1,0.5657142857142857,198,350
0.26,0.11,0.5657142857142857,198,350
0.26,0.12,0.5657142857142857,198,350
0.26,0.13,0.5657142857142857,198,350
0.26,0.14,0.5628571428571428,197,350
0.26,0.15,0.5628571428571428,197,350
0.26,0.16,0.5628571428571428,197,350
0.26,0.17,0.5571428571428572,195,350
0.26,0.18,0.5571428571428572,195,350
0.26,0.19,0.5571428571428572,195,350
0.26,0.2,0.5571428571428572,195,350
0.26,0.21,0.5571428571428572,195,350
0.26,0.22,0.5571428571428572,195,350
0.26,0.23,0.5571428571428572,195,350
0.26,0.24,0.5571428571428572,195,350
0.26,0.25,0.5571428571428572,195,350
0.27,0.1,0.5657142857142857,198,350
0.27,0.11,0.5657142857142857,198,350
0.27,0.12,0.5657142857142857,198,350
0.27,0.13,0.5657142857142857,198,350
0.27,0.14,0.5657142857142857,198,350
0.27,0.15,0.5657142857142857,198,350
0.27,0.16,0.5628571428571428,197,350
0.27,0.17,0.5628571428571428,197,350
0.27,0.18,0.5571428571428572,195,350
0.27,0.19,0.5571428571428572,195,350
0.27,0.2,0.5571428571428572,195,350
0.27,0.21,0.5571428571428572,195,350
0.27,0.22,0.5571428571428572,195,350
0.27,0.23,0.5571428571428572,195,350
0.27,0.24,0.5571428571428572,195,350
0.27,0.25,0.5571428571428572,195,350
0.27,0.26,0.5571428571428572,195,350
0.28,0.1,0.5657142857142857,198,350
0.28,0.11,0.5657142857142857,198,350
0.28,0.12,0.5657142857142857,198,350
0.28,0.13,0.5657142857142857,198,350
0.28,0.14,0.5657142857142857,198,350
0.28,0.15,0.5657142857142857,198,350
0.28,0.16,0.5657142857142857,198,350
0.28,0.17,0.5628571428571428,197,350
0.28,0.18,0.5628571428571428,197,350
0.28,0.19,0.5571428571428572,195,350
0.28,0.2,0.5571428571428572,195,350
0.28,0.21,0.5571428571428572,195,350
0.28,0.22,0.5571428571428572,195,350
0.28,0.23,0.5571428571428572,195,350
0.28,0.24,0.5571428571428572,195,350
0.28,0.25,0.5571428571428572,195,350
0.28,0.26,0.5571428571428572,195,350
0.28,0.27,0.5571428571428572,195,350
0.29,0.1,0.5657142857142857,198,350
0.29,0.11,0.5657142857142857,198,350
0.29,0.12,0.5657142857142857,198,350
0.29,0.13,0.5657142857142857,198,350
0.29,0.14,0.5657142857142857,198,350
0.29,0.15,0.5657142857142857,198,350
0.29,0.16,0.5657142857142857,198,350
0.29,0.17,0.5628571428571428,197,350
0.29,0.18,0.5628571428571428,197,350
0.29,0.19,0.5571428571428572,195,350
0.29,0.2,0.5571428571428572,195,350
0.29,0.21,0.5571428571428572,195,350
0.29,0.22,0.5571428571428572,195,350
0.29,0.23,0.5571428571428572,195,350
0.29,0.24,0.5571428571428572,195,350
0.29,0.25,0.5571428571428572,195,350
0.29,0.26,0.5571428571428572,195,350
0.29,0.27,0.5571428571428572,195,350
0.29,0.28,0.5571428571428572,195,350
0.3,0.1,0.5657142857142857,198,350
0.3,0.11,0.5657142857142857,198,350
0.3,0.12,0.5657142857142857,198,350
0.3,0.13,0.5657142857142857,198,350
0.3,0.14,0.5657142857142857,198,350
0.3,0.15,0.5657142857142857,198,350
0.3,0.16,0.5657142857142857,198,350
0.3,0.17,0.5657142857142857,198,350
0.3,0.18,0.5628571428571428,197,350
0.3,0.19,0.5628571428571428,197,350
0.3,0.2,0.5571428571428572,195,350
0.3,0.21,0.5571428571428572,195,350
0.3,0.22,0.5571428571428572,195,350
